Date,Open,High,Low,,Close,Volume
19-09-2019,271.799988,272.399994,268.450012,,267.209625,362308
20-09-2019,271.25,289,270,,283.798828,329026
23-09-2019,293.5,303.799988,292.049988,,297.763458,547162
24-09-2019,302.649994,305.5,297.200012,,297.713959,282236
25-09-2019,301.700012,303.25,294.5,,294.940796,150223
26-09-2019,298.950012,315,298,,309.945374,553137
27-09-2019,314.200012,319.899994,305.100006,,303.557281,306505
30-09-2019,307,309.649994,297.399994,,295.980743,129160
01-10-2019,299.850006,303.600006,286.25,,287.760406,179297
03-10-2019,287.899994,296.799988,286.200012,,292.662903,114959
04-10-2019,297.200012,302.600006,293.950012,,295.089386,154337
07-10-2019,299.200012,299.200012,286.25,,285.433014,160316
09-10-2019,286.049988,295,286.049988,,291.424896,283035
10-10-2019,293,304.850006,291.149994,,300.487061,220522
11-10-2019,305.75,309.899994,302.5,,301.873596,216526
14-10-2019,304.850006,307.700012,298.299988,,301.328888,98937
15-10-2019,303.850006,306.700012,295.649994,,296.822601,100802
16-10-2019,300.649994,305,297.5,,299.397614,81180
17-10-2019,302.899994,318,299.299988,,311.926178,346196
18-10-2019,317,323.399994,315.100006,,314.79834,407111
22-10-2019,319.25,334.399994,318.149994,,327.574463,388913
23-10-2019,333.549988,348.299988,331.600006,,337.627014,564146
24-10-2019,344,348,336.049988,,337.379425,333249
25-10-2019,353.799988,360,337.450012,,337.379425,1612017
27-10-2019,null,null,null,,null,null
29-10-2019,351.049988,352,342,,340.102997,220848
30-10-2019,344.950012,348.399994,338,,337.825104,278725
31-10-2019,342.850006,346,338.100006,,337.924164,318481
01-11-2019,341,341.899994,334.100006,,337.032776,243835
04-11-2019,342.950012,342.950012,337.25,,335.349121,178168
05-11-2019,338.950012,362.600006,336.399994,,356.345551,1376398
06-11-2019,363.5,364.950012,344.700012,,346.639648,833360
07-11-2019,349,363.950012,348.899994,,353.12674,480522
08-11-2019,354.899994,364.899994,350,,349.066132,404703
11-11-2019,351.899994,368,349.25,,355.454193,972522
13-11-2019,369,377,361.049988,,358.623474,1441610
14-11-2019,362.950012,364,351.75,,353.522949,242820
15-11-2019,357.950012,358.899994,352.049988,,350.056549,169093
18-11-2019,353.799988,361.950012,353.450012,,354.909485,241905
19-11-2019,358.850006,359.799988,353.549988,,351.938293,134438
20-11-2019,354.299988,355.799988,346.899994,,345.154053,210922
21-11-2019,349,355.100006,345.450012,,347.085358,172882
22-11-2019,350.950012,351.25,344,,342.62854,484336
25-11-2019,348,348.299988,339.5,,342.182861,187694
26-11-2019,346,350.5,340.5,,343.321808,440510
27-11-2019,344.600006,346.649994,342,,340.697266,132036
28-11-2019,344.049988,346.350006,337,,334.754852,195105
29-11-2019,336.100006,346,335.549988,,333.665405,239842
02-12-2019,337.950012,339.399994,326.450012,,326.881165,164465
03-12-2019,333,344,325,,336.438568,253150
04-12-2019,341.25,346.899994,339.049988,,337.428955,260991
05-12-2019,340.799988,346.350006,338.100006,,336.834717,143248
06-12-2019,341,346,330.299988,,329.208618,216572
09-12-2019,332,345,331.5,,338.865021,283618
10-12-2019,344.799988,347.850006,335,,333.764465,157218
11-12-2019,337.049988,340,335.700012,,336.042358,93927
12-12-2019,341.450012,360.399994,340.75,,352.185883,772395
13-12-2019,357.899994,358.450012,348.25,,347.184357,231398
16-12-2019,352.350006,363.649994,352.350006,,354.018127,491397
17-12-2019,357.399994,364.899994,354,,358.673004,224812
18-12-2019,360.200012,369.399994,360.200012,,361.148987,398082
19-12-2019,365,365.399994,360.149994,,359.712921,141972
20-12-2019,363.25,363.5,355.25,,353.1763,108954
